"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
121,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
122,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
123,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
124,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
125,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
126,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
127,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
128,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
129,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
130,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
131,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
132,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
133,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
134,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
135,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
136,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
137,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
138,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
139,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
140,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
141,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
142,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
143,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
144,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
145,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
146,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
147,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
148,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
149,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
150,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
151,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
152,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
153,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
154,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
155,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
156,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
157,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
158,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
159,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
160,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
161,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
162,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
163,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
164,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
165,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
