"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","docking_weight"
10,0.2657806873321533,0.9607843160629272,1,0.9607843160629272,0.7481298446655273,0.03827742487192154,0.0784313753247261,10.411765098571777,-4.993137359619141,100,430,0.6476849317550659,"1"
11,0.22054056823253632,0.9538461565971375,0.9692307710647583,0.6153846383094788,0.620128870010376,0.2030537873506546,0.6153846383094788,14.538461685180664,-4.366230487823486,100,495,0.5693782567977905,"1"
12,0.22174671292304993,0.9767441749572754,1,0.5930232405662537,0.4238038957118988,0.12075907737016678,0.5813953280448914,14.872093200683594,1.2693254947662354,100,578,0.5051946043968201,"1"
13,0.24119922518730164,0.96875,0.953125,0.890625,0.46688419580459595,0.11636161804199219,0.703125,12.375,-0.15832805633544922,98.4375,639,0.5728774070739746,"1"
14,0.2219051718711853,0.9756097793579102,1,0.8048780560493469,0.5795705914497375,0.3985069990158081,0.6829268336296082,13.487804412841797,-4.152146339416504,100,675,0.5891158580780029,"1"
15,0.22255301475524902,0.9534883499145508,0.9767441749572754,0.7674418687820435,0.6611049771308899,0.43157678842544556,0.11627907305955887,10.069766998291016,-6.532930374145508,97.6744155883789,714,0.6347098350524902,"1"
16,0.2378276139497757,0.859649121761322,1,0.7543859481811523,0.8357543349266052,0.43556857109069824,0.6842105388641357,8.8421049118042,-9.752262115478516,100,766,0.5679698586463928,"1"
17,0.2429557591676712,0.9666666388511658,0.8333333134651184,0.6666666865348816,0.8231213688850403,0.8208015561103821,1.0666667222976685,8.766666412353516,-9.685799598693848,100,794,0.6995391249656677,"1"
18,0.23508673906326294,0.8245614171028137,0.9122806787490845,0.7543859481811523,0.8367505669593811,0.45066961646080017,1.0526316165924072,9.754385948181152,-10.18603515625,100,846,0.519865870475769,"1"
19,0.2304791659116745,0.837837815284729,1,0.6891891956329346,0.547146737575531,0.25853049755096436,0.7027027010917664,13.756756782531738,-0.35344597697257996,100,918,0.49464699625968933,"1"
20,0.22549058496952057,1,1,0.892307698726654,0.5664805173873901,0.15375404059886932,0.4153846204280853,10.953845977783203,-2.794107437133789,100,981,0.6413923501968384,"1"
21,0.2259257584810257,0.9833333492279053,0.9666666388511658,0.7333333492279053,0.6942448019981384,0.35766157507896423,0.7833333611488342,8.199999809265137,-6.140565872192383,98.33333587646484,1030,0.5639187097549438,"1"
22,0.21196313202381134,0.9193548560142517,0.9193548560142517,0.8225806355476379,0.5296542048454285,0.2971474528312683,0.032258063554763794,9.467741966247559,-4.042129039764404,91.93548583984375,1084,0.6029155850410461,"1"
23,0.23441675305366516,0.9852941036224365,0.9852941036224365,0.8676470518112183,0.7615140676498413,0.263351172208786,0.1764705926179886,8.617647171020508,-7.254514217376709,98.52941131591797,1148,0.7004656791687012,"1"
24,0.23498722910881042,0.9571428298950195,0.9571428298950195,0.9142857193946838,0.6083577871322632,0.31353771686553955,0.02857142873108387,9.328571319580078,-3.616442918777466,95.71428680419922,1210,0.4615018665790558,"1"
25,0.22867223620414734,1,1,0.953125,0.6482493877410889,0.31181222200393677,0.046875,9.15625,-5.130343437194824,100,1261,0.5876683592796326,"1"
26,0.22602805495262146,1,1,0.795918345451355,0.7093991041183472,0.42394280433654785,0.020408162847161293,8.816326141357422,-7.547019958496094,100,1293,0.49575236439704895,"1"
27,0.2451939582824707,1,1,1,0.47720280289649963,0.2842681407928467,0,10.796296119689941,1.2079628705978394,100,1340,0.420063853263855,"1"
28,0.24086761474609375,0.9772727489471436,0.9772727489471436,0.9318181872367859,0.5362085103988647,0.4359253942966461,0,11.431818008422852,-3.9126365184783936,97.7272720336914,1373,0.4778081774711609,"1"
29,0.22522082924842834,0.9818181991577148,1,0.6000000238418579,0.34079474210739136,0.26877909898757935,0.0181818176060915,14.563636779785156,6.895562648773193,100,1418,0.4271616041660309,"1"
30,0.25088727474212646,1,1,0,0.22184652090072632,0.22083134949207306,0.01515151560306549,20.045454025268555,14.162696838378906,100,1481,0.33856669068336487,"1"
31,0.24628721177577972,1,1,0.04838709533214569,0.2595409154891968,0.29682424664497375,0.04838709533214569,19.870967864990234,12.935257911682129,100,1539,0.3794645369052887,"1"
