"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
11,0.2504066228866577,0.9861111044883728,0.9305555820465088,0.4444444477558136,0.979833722114563,0.253680944442749,1.0138888359069824,6.277777671813965,-14.38605785369873,98.61111450195312,411,0.027558404952287674,"7_8","7~8"
12,0.22591249644756317,0.8588235378265381,0.8352941274642944,0.5529412031173706,0.8415517210960388,0.3390161991119385,0.929411768913269,6.894117832183838,-10.63274097442627,89.4117660522461,452,0.06120302155613899,"7_8","7~8"
13,0.2488088756799698,0.9638554453849792,0.9397590160369873,0.4819277226924896,0.9768847823143005,0.32668620347976685,1.0240963697433472,7.722891330718994,-13.562748908996582,100,491,0.01200434286147356,"7_8","7~8"
14,0.2338227778673172,0.8510638475418091,0.7872340679168701,0.5319148898124695,0.8965842723846436,0.26821470260620117,1.127659559249878,8.14893627166748,-10.92965030670166,95.74468231201172,548,0.09418672323226929,"7_8","7~8"
15,0.24998228251934052,0.9462365508079529,0.9569892287254333,0.602150559425354,0.9532691240310669,0.3222498595714569,0.8924731016159058,6.8279571533203125,-13.558751106262207,97.8494644165039,592,0.04266577959060669,"7_8","7~8"
16,0.23923054337501526,0.8690476417541504,0.8928571343421936,0.4047619104385376,0.9235040545463562,0.3451124429702759,0.9404761791229248,6.88095235824585,-12.954310417175293,95.23809814453125,630,0.04701993986964226,"7_8","7~8"
17,0.24821706116199493,0.9518072009086609,0.9638554453849792,0.5421686768531799,0.963386058807373,0.3234502077102661,0.8674699068069458,6.698795318603516,-13.721253395080566,98.79518127441406,673,0.09431593120098114,"7_8","7~8"
18,0.2335602045059204,0.8588235378265381,0.8823529481887817,0.529411792755127,0.897796094417572,0.29275476932525635,0.8705882430076599,6.470588207244873,-12.614413261413574,92.94117736816406,716,0.06957484781742096,"7_8","7~8"
19,0.2422274500131607,0.95652174949646,0.9130434989929199,0.46739131212234497,0.936362087726593,0.2813172936439514,0.8260869383811951,6.8152174949646,-13.405324935913086,95.65217590332031,768,0.08625759184360504,"7_8","7~8"
20,0.2225617617368698,0.9047619104385376,0.9523809552192688,0.2976190447807312,0.9297221899032593,0.2386576384305954,0.380952388048172,5.511904716491699,-13.053047180175781,95.23809814453125,808,0.02352074161171913,"7_8","7~8"
21,0.23374806344509125,0.895348846912384,0.9651162624359131,0.3720930218696594,0.9651848673820496,0.26359838247299194,0.40697672963142395,5.906976699829102,-14.21420955657959,97.6744155883789,853,0.03460348770022392,"7_8","7~8"
22,0.23473529517650604,0.970588207244873,0.9558823704719543,0.3970588147640228,0.9957698583602905,0.2861519157886505,0.4852941036224365,5.808823585510254,-14.931117057800293,100,889,0.10226624459028244,"7_8","7~8"
23,0.23252397775650024,0.9620253443717957,1,0.2405063360929489,0.9949483871459961,0.282277375459671,0.2405063360929489,5.797468185424805,-14.839468002319336,100,919,0.05035404488444328,"7_8","7~8"
24,0.22123844921588898,0.9571428298950195,1,0.2142857164144516,0.9569591879844666,0.3126094341278076,0.04285714402794838,6.685714244842529,-13.038642883300781,100,948,0.014157336205244064,"7_8","7~8"
25,0.22793002426624298,0.949999988079071,1,0.1899999976158142,0.7593590021133423,0.17484821379184723,0.019999999552965164,10.949999809265137,-7.506240367889404,100,1024,0.05484417825937271,"7_8","7~8"
26,0.22239230573177338,0.989130437374115,0.989130437374115,0.21739129722118378,0.89344722032547,0.20064422488212585,0.054347824305295944,8.510869979858398,-11.012184143066406,98.91304016113281,1076,0.04320654645562172,"7_8","7~8"
27,0.2259455919265747,0.976190447807312,1,0.4285714328289032,0.9551280736923218,0.2765384316444397,0.02380952425301075,7.059523582458496,-13.201573371887207,100,1100,0.02360382303595543,"7_8","7~8"
28,0.22118519246578217,1,1,0.2795698940753937,0.8486552834510803,0.23485781252384186,0,9.4408597946167,-10.414569854736328,100,1145,0.010691209696233273,"7_8","7~8"
